ID,Aligned Time,Source Time,Commander,DM->CMD,DM->RN,RN,Transaction,Antecedent,Relation,Notes
45,172.09,172.09,,I will send a picture,,,8,42,ack-wilco,
46,175.21,175.21,,turning. . .,,,8,37,ack-doing,
47,184.03,181.21,,,,uh done,8,40,ack-done,
48,187.17,187.17,,"done, sent",,,8,47,translation-l,
49,190.13,187.31,,,,sent,8,44,ack-done,
50,216.34,213.02,rotate left forty degrees,,,,9,,,
51,219.54,216.22,and take a picture,,,,9,50,,
52,222.73,222.73,,ok,,,9,51*,ack-wilco,
53,228.91,228.91,,,turn left 40 degrees,,9,50,translation-r,
54,230.26,230.26,,,then. . .,,9,53,continue,
55,231.39,231.39,,,send image,,9,51,continue,
56,232.99,232.99,,turning. . .,,,9,50,ack-doing,
57,235.66,232.84,,,,done and sent,9,55*,ack-done,
58,237.5,237.5,,"done, sent",,,9,57,translation-l,
59,249.519999999999,246.2,rotate right <long pause> forty five degrees,,,,10,,,
60,255.019999999999,251.7,and take a picture,,,,10,59,continue,
61,256.84,256.84,,ok,,,10,60*,ack-wilco,
62,260.51,260.51,,,turn right 45 degrees,,10,59,translation-r,
63,262.1,262.1,,,then. . .,,10,62,continue,
64,263.17,263.17,,,send image,,10,60,continue,
65,264.16,264.16,,turning. . .,,,10,59,ack-doing,
66,269.78,266.96,,,,done and sent,10,64*,ack-done,
67,271.51,271.51,,"done, sent",,,10,66,translation-l,
68,276.84,273.52,<pause> rotate right <small pause> twenty degrees,,,,11,,,
69,281.49,278.17,and take a picture,,,,11,68,continue,
70,283.05,283.05,,ok,,,11,69*,ack-wilco,
71,288.98,288.98,,,turn right 20 degrees,,11,68,translation-r,
72,290.08,290.08,,,then. . .,,11,71,continue,
73,291.21,291.21,,,send image,,11,69,continue,
74,292.04,292.04,,turning. . .,,,11,68,ack-doing,
75,293.86,291.04,,,,done and sent,11,73*,ack-done,
76,295.14,295.14,,"done, sent",,,11,75,translation-l,
77,302.56,299.24,<pause> rotate right,,,,12,,,
78,305.65,302.33,and move forward <pause> through the doorway,,,,12,77,continue,
79,315.41,315.41,,processing. . .,,,12,78*,processing,
80,325.44,325.44,,How far should I rotate right? <beep>,,,12,77,req-clar,
81,328.46,328.46,,I see more than one doorway.  <beep>,,,12,78,continue,
82,332.49,329.17,<pause>rotate right <pause> ff thirty degrees,,,,12,80,,
83,342.11,342.11,,ok,,,12,82,ack-wilco,
84,348.38,348.38,,,turn right 30 degrees,,12,82,translation-r,
85,349.66,349.66,,turning. . .,,,12,82,ack-doing,
86,354.19,351.37,,,,done,12,84,ack-done,
87,355.81,352.49,take a picture,,,,13,,,
88,355.98,355.98,,done,,,12,86,translation-l,
89,358.66,358.66,,,send image,,13,87,translation-r,
90,359.63,356.81,,,,sent,13,89,ack-done,
91,361.36,361.36,,sent,,,13,90,translation-l,
92,363.78,360.46,"<no speech, sniff>",,,,,,,
93,368.9,365.58,rotate right <pause> twenty degrees,,,,14,,continue,
94,372.44,369.12,<pause> and move <pause> four feet forward,,,,14,93,continue,
95,377.13,377.13,,processing. . .,,,14,94*,processing,
96,383.11,383.11,,,turn right 20 degrees,,14,93,translation-r,
97,384.46,384.46,,,then. . .,,14,96,continue,
98,391.24,391.24,,,move forward 4 feet,,14,94,continue,
99,394.29,394.29,,moving. . .,,,14,94,ack-doing,
100,398.909999999999,396.09,,,,done,14,98*,ack-done,
101,400.42,400.42,,done,,,14,100,translation-l,
102,404.18,400.86,take a picture,,,,15,,,
103,407.33,407.33,,,send image,,15,102,translation-r,
104,408.37,405.55,,,,sent,15,103,ack-done,
105,410.07,410.07,,sent,,,15,104,translation-l,
106,418.599999999999,415.28,<pause> move <pause> forward through the doorway,,,,16,,,
107,425.22,425.22,,processing. . .,,,16,106,processing,
108,432.84,432.84,,,move into TV room,,16,106,translation-r,
109,435.65,435.65,,moving. . .,,,16,106,ack-doing,
110,442.3,439.48,,,,uh done,16,108,ack-done,
111,443.8,443.8,,done,,,16,110,translation-l,
112,452.719999999999,449.4,rotate left forty degrees,,,,17,,,
113,454.84,451.52,t and take a picture,,,,17,112,,
114,457.22,457.22,,ok,,,17,113*,ack-wilco,
115,463.7,463.7,,,turn left 40 degrees,,17,112,translation-r,
116,464.92,464.92,,,then. . .,,17,115,continue,
117,465.82,465.82,,,send image,,17,113,continue,
118,466.73,466.73,,turning. . .,,,17,112,ack-doing,
119,470.45,467.63,,,,done and sent,17,117*,ack-done,
120,471.96,471.96,,"done, sent",,,17,119,translation-l,
121,486.659999999999,483.34,<pause>rotate left twenty degrees,,,,18,,,
122,491.83,488.51,and take a picture,,,,18,121,continue,
123,493.82,493.82,,ok,,,18,122*,ack-wilco,
124,500,500,,,turn left 20 degrees,,18,121,translation-r,
125,501.33,501.33,,,then. . .,,18,124,continue,
126,502.43,502.43,,,send image,,18,122,continue,
127,503.28,503.28,,turning. . .,,,18,121,ack-doing,
128,505.21,502.39,,,,done and sent,18,126*,ack-done,
129,506.35,506.35,,"done, sent",,,18,128,translation-l,
130,514.31,510.99,rotate left twenty degrees,,,,19,,,
131,516.65,513.33,and take a picture,,,,19,130,continue,
132,518.07,518.07,,ok,,,19,131*,ack-wilco,
133,524.37,524.37,,,turn left 20 degrees,,19,130,translation-r,
134,525.47,525.47,,,then. . .,,19,133,continue,
135,526.92,526.92,,,send image,,19,131,continue,
136,527.9,527.9,,turning. . .,,,19,130,ack-doing,
137,529.16,526.34,,,,done and sent,19,135*,ack-done,
138,530.84,530.84,,"done, sent",,,19,137,translation-l,
139,542.98,539.66,rotate right <pause> forty degrees,,,,20,,,
140,547.51,544.19,and move close to the object,,,,20,139,continue,
141,552.85,552.85,,processing. . .,,,20,140*,processing,
142,566.63,566.63,,,turn right 40 degrees,,20,139,translation-r,
143,571.26,571.26,,I will turn right 40 degrees,,,20,139,ack-wilco,
144,574.42,574.42,,but. . .,,,20,143,continue,
145,576.17,576.17,,I'm not sure which object you are referring to. <beep>,,,20,144,ack-unsure,
146,578.73,575.91,,,,done,20,142,ack-done,
147,581.49,578.17,rotate right <pause> ten degrees,,,,21,,,
148,584.6,581.28,and move <pause> ff four feet forward,,,,21,147,continue,
149,590.03,590.03,,ok,,,21,148*,ack-wilco,
150,596.86,596.86,,,turn right 10 degrees,,21,147,translation-r,
151,598.01,598.01,,,then. . .,,21,150,continue,
152,603.49,603.49,,,move forward 4 feet,,21,148,continue,
153,605.98,605.98,,moving. . .,,,21,148*,ack-doing,
154,612.38,609.56,,,,done,21,152*,ack-done,
155,613.88,610.56,rotate right ten degrees,,,,22,,,
156,614.82,614.82,,done,,,21,154,translation-l,
157,617.64,614.32,move one foot forward,,,,22,155,,
158,620.78,617.46,and take a picture,,,,22,157,continue,
159,622.36,622.36,,processing. . .,,,22,158*,processing,
160,629.83,629.83,,,turn right 10 degrees,,22,155,translation-r,
161,631.42,631.42,,,then. . .,,22,160,continue,
162,633.62,633.62,,,move forward 1 foot,,22,157,continue,
163,635.51,635.51,,,then. . .,,22,162,continue,
164,636.44,636.44,,,send image,,22,158,continue,
165,638.46,635.64,,,,done and sent,22,164*,ack-done,
166,640.44,640.44,,"done, sent",,,22,165,translation-l,
167,650.83,647.51,move close to the object ahead,,,,23,,,
168,655.3,655.3,,processing. . .,,,23,167,processing,
169,661.18,661.18,,,move to books,,23,167,translation-r,
170,667.9,667.9,,moving. . .,,,23,167,ack-doing,
171,672.96,670.14,,,,done,23,169,ack-done,
172,675.17,675.17,,done,,,23,171,translation-l,
173,675.68,672.36,take a picture,,,,24,,,
174,677.87,677.87,,,send image,,24,173,translation-r,
175,678.88,676.06,,,,sent,24,174,ack-done,
176,680.09,680.09,,sent,,,24,175,translation-l,
177,690.52,687.2,<pause> turn ninety degrees right,,,,25,,,
178,695.82,692.5,and take a picture,,,,25,177,continue,
179,698.01,698.01,,ok,,,25,178*,ack-wilco,
180,702.64,702.64,,,turn right 90 degrees,,25,177,translation-r,
181,703.33,703.33,,I will turn right 90 degrees,,,25,177,ack-wilco,
182,704.51,704.51,,and. . .,,,25,181,continue,
183,705.02,705.02,,,then. . .,,25,180,translation-r,
184,706.1,706.1,,,send image,,25,178,continue,
185,706.62,706.62,,I will send a picture,,,25,178,ack-wilco,
186,713.11,710.29,,,,done and sent,25,184*,ack-done,
187,714.69,714.69,,"done, sent",,,25,186,translation-l,
188,717.73,714.41,turn ninety degrees right,,,,26,,,
189,720.76,717.44,and take a picture,,,,26,188,continue,
190,722.44,722.44,,ok,,,26,189*,ack-wilco,
191,725.33,725.33,,,turn right 90 degrees,,26,188,translation-r,
192,726.46,726.46,,,then. . .,,26,191,continue,
193,727.46,727.46,,,send image,,26,189,continue,
194,728.91,728.91,,turning. . .,,,26,188,ack-doing,
195,739.27,736.45,,,,done and sent,26,193*,ack-done,
196,741.01,741.01,,"done, sent",,,26,195,translation-l,
197,743.95,740.63,<pause>turn ninety degrees right,,,,27,,,
198,748.96,745.64,and move through the doorway,,,,27,197,continue,
199,753.32,753.32,,processing. . .,,,27,198*,processing,
200,757.33,757.33,,,turn right 90 degrees,,27,197,translation-r,
201,758.77,758.77,,,then. . .,,27,200,continue,
202,768.32,768.32,,,move into TV hallway,,27,198,continue,
203,773.23,773.23,,moving. . .,,,27,198*,ack-doing,
204,779.96,777.14,,,,done,27,202*,ack-done,
205,781.31,781.31,,done,,,27,204,translation-l,
206,781.58,778.26,<no speech>,,,,,,,
207,786.23,782.91,<pause> take a picture,,,,28,,continue,
208,791.68,791.68,,,send image,,28,207,translation-r,
209,792.68,789.86,,,,sent,28,208,ack-done,
210,793.63,790.31,<pause> turn ninety degrees right,,,,29,,,
211,794.16,794.16,,sent,,,28,209,translation-l,
212,797.22,793.9,and take a picture,,,,29,210,,
213,799.11,799.11,,ok,,,29,212*,ack-wilco,
214,802.46,802.46,,,turn right 90 degrees,,29,210,translation-r,
215,803.77,803.77,,,then. . .,,29,214,continue,
216,804.88,804.88,,,send image,,29,212,continue,
217,808.15,808.15,,turning. . .,,,29,210,ack-doing,
218,813.95,811.13,,,,done and sent,29,216*,ack-done,
219,815.64,815.64,,"done, sent",,,29,218,translation-l,
220,826.48,823.16,turn one hundred eighty degrees,,,,30,,,
221,829.55,826.23,and take a picture,,,,30,220,continue,
222,831.89,831.89,,ok,,,30,221*,ack-wilco,
223,834.25,834.25,,,turn 180,,30,220,translation-r,
224,835.15,835.15,,I will turn around 180 degrees,,,30,220,ack-wilco,
225,836.39,836.39,,and. . .,,,30,224,continue,
226,837.17,837.17,,,then. . .,,30,222,translation-r,
227,838.15,838.15,,,send image,,30,221,continue,
228,839.07,839.07,,I will send a picture,,,30,221,ack-wilco,
229,854.07,851.25,,,,done and sent,30,227*,ack-done,
230,856.51,856.51,,"done, sent",,,30,229,translation-l,
231,865.33,862.01,<pause> move <pause> two feet from the wall ahead,,,,31,,,
232,871.62,868.3,and take a picture,,,,31,231,,
233,875.27,875.27,,processing. . .,,,31,232*,processing,
234,910.84,910.84,,,move forward to 2 feet from wall ahead,,31,231,translation-r,
235,912.91,912.91,,,then. . .,,31,234,continue,
236,913.76,913.76,,,send image,,31,232,continue,
237,914.97,914.97,,moving. . .,,,31,231,ack-doing,
238,922.85,920.03,,,,uh done and sent,31,236*,ack-done,
239,924.61,924.61,,"done, sent",,,31,238,translation-l,
240,944.93,941.61,turn one hundred eighty degrees,,,,32,,,
241,949.53,949.53,,ok,,,32,240,ack-wilco,
242,951.69,951.69,,,turn 180,,32,240,translation-r,
243,952.51,952.51,,I will turn around 180 degrees,,,32,240,ack-wilco,
244,954.27,954.27,,turning. . .,,,32,240,continue,
245,968.18,965.36,,,,done,32,242,ack-done,
246,968.39,965.07,take a picture,,,,33,,,
247,970.01,970.01,,done,,,32,245,translation-l,
248,971.11,971.11,,,send image,,33,246,translation-r,
249,972.54,969.72,,,,sent,33,248,ack-done,
250,974.08,974.08,,sent,,,33,249,translation-l,
251,978.92,975.6,move forward <pause> to the second doorway on your right,,,,34,,,
252,985.56,985.56,,processing. . .,,,34,251,processing,
253,994.08,994.08,,,move to Dark room - hall doorway,,34,251,translation-r,
254,997.87,997.87,,moving. . .,,,34,251,ack-doing,
255,1009.82,1007,,,,uh done,34,253,ack-done,
256,1011.38,1011.38,,done,,,34,256,translation-l,
257,1019.66,1016.34,move through the doorway and take a picture,,,,35,,,
258,1032.4,1032.4,,I see more than one doorway.  <beep>,,,35,257,ack-unsure,
259,1034.18,1034.18,,Which doorway?  <beep>,,,35,258,continue,
260,1036.14999999999,1032.83,the doorway on your right,,,,35,259,,
261,1040.39,1040.39,,processing. . .,,,35,260,processing,
262,1045.22,1045.22,,,move into Dark room,,35,260,translation-r,
263,1047.61,1047.61,,,then. . .,,35,263,continue,
264,1048.46,1048.46,,,send image,,35,257,continue,
265,1057.52,1057.52,,moving. . .,,,35,260,ack-doing,
266,1062.8,1059.98,,,,uh done and sent,35,264*,ack-done,
267,1064.29,1064.29,,"done, sent",,,35,266,translation-l,
268,1075.23,1071.91,turn left forty five degrees,,,,36,,,
269,1077.68999999999,1074.37,and take a picture,,,,36,268,continue,
270,1079.22,1079.22,,ok,,,36,269*,ack-wilco,
271,1086.11,1086.11,,,turn left 45 degrees,,36,268,translation-r,
272,1086.96,1086.96,,I will turn left 45 degrees,,,36,268,ack-wilco,
273,1088.07,1088.07,,and. . .,,,36,272,continue,
274,1088.95,1088.95,,,then. . .,,36,271,translation-r,
275,1090.45,1090.45,,,send image,,36,269,continue,
276,1091.31,1091.31,,I will send a picture,,,36,269,ack-wilco,
277,1092.85,1092.85,,turning. . .,,,36,268,continue,
278,1096.09,1093.27,,,,uh done and sent,36,275*,ack-done,
279,1097.65,1097.65,,"done, sent",,,36,278,translation-l,
280,1104.92999999999,1101.61,<pause> turn right ninety degrees,,,,37,,,
281,1107.82,1104.5,and take a picture,,,,37,280,continue,
282,1109.93,1109.93,,ok,,,37,281*,ack-wilco,
283,1112.88,1112.88,,,turn right 90 degrees,,37,280,translation-r,
284,1114.2,1114.2,,,then. . .,,37,283,continue,
285,1115.43,1115.43,,,send image,,37,285,continue,
286,1116.58,1116.58,,turning. . .,,,37,281,ack-doing,
287,1124.66999999999,1121.85,,,,done and sent,37,285*,ack-done,
288,1126.08,1126.08,,"done, sent",,,37,287,translation-l,
289,1138.04,1134.72,have you seen any shoes at all,,,,38,,,
290,1142.67,1142.67,,processing. . .,,,38,289,processing,
291,1157.28,1157.28,,I think you are more familiar with shoes than I am.,,,38,298,ack-unsure,
292,1158.67,1158.67,,but. . .,,,38,291,continue,
293,1161.26,1161.26,,I can move to take a good picture of an object that you are interested in.  <beep>,,,38,292,continue,
294,1171.88999999999,1168.57,rotate ninety degrees,,,,38,,,
295,1175.14999999999,1171.83,and take a picture,,,,38,295,continue,
296,1177.87,1177.87,,ok,,,38,295*,ack-wilco,
297,1181.48,1181.48,,,turn right 90 degrees,,38,294,translation-r,
298,1183.6,1183.6,,,then. . .,,38,297,translation-r,
299,1184.54,1184.54,,,send image,,38,295,translation-r,
300,1185.23,1185.23,,turning. . .,,,38,294,ack-doing,
301,1195.88999999999,1193.07,,,,uh done and sent,38,299*,ack-done,
302,1196.5,1193.18,"<pause, inhale> go one hundred eighty degrees",,,,39,,,
303,1197.44,1197.44,,"done, sent",,,38,301,translation-l,
304,1200.3,1196.98,and take a picture,,,,39,302,,
305,1203.65,1203.65,,ok,,,39,304*,ack-wilco,
306,1207.66,1207.66,,,turn 180,,39,302,translation-r,
307,1208.36,1208.36,,I will turn around 180 degrees,,,39,302,ack-wilco,
308,1209.96,1209.96,,and. . .,,,39,307,continue,
309,1210.64,1210.64,,,then. . .,,39,306,translation-r,
310,1211.67,1211.67,,,send image,,39,304,continue,
311,1212.32,1212.32,,I will send a picture,,,39,304,ack-wilco,
312,1214.23,1214.23,,turning. . .,,,39,302,continue,
313,1227.83,1225.01,,,,uh done and sent,39,311*,ack-done,
314,1229.86,1229.86,,"done, sent",,,39,313,translation-l,
315,1233.29,1229.97,<a: okay we're gonna go ahead and review>,,,,FE,,,
316,1235.49,1232.17,<a: how many doorways were there,,,,FE,315,,
317,1237.6,1234.28,six,,,,FE,317,,
318,1238.96,1235.64,<a: six how many shoes were there>,,,,FE,318,,
319,1241.2,1237.88,zero,,,,FE,318,,
320,1242.32,1239,<a:zero>,,,,FE,319,,
321,1242.93999999999,1239.62,<a: okay do you think there's anything that indicates that the environment has recently been occupied,,,,FE,,,
322,1248.58,1245.26,well there's some plants that look pretty healthy so,,,,FE,321,,
323,1252.24,1248.92,<a: okay>,,,,FE,323,,
324,1254.06,1254.06,,"Great job, teammate!  Task complete.  <beep>",,,FE,323,,
325,1257.96,1257.96,,,end task,,FE,325,,
